,Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
14,meal_id15  ,almond and cranberry poha                                                     ,poha        ,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,iron          ,hypertension                                                                                                          ,gluten_free_diet vegan_diet low_fat_diet high_fiber_diet                                                                                                                                ,445
15,meal_id16  ,almond and raw banana galawat                                                 ,banana      ,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter                                                                                                                                                                                                                                                                                                                                                                       ",veg     ,selenium      ,anemia hypertension cancer scurvy heart_disease kidney_disease diabeties                                              ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                 ,395
16,meal_id17  ,baked namakpara with roasted almond dip                                       ,dip         ,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,calcium       ,goitre hypertension kidney_disease                                                                                    ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                 ,425
17,meal_id18  ,grilled almond barfi (sugar free)                                             ,barfi       ,"khoya, sweetener (optional), almonds (crushed)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,calcium       ,goitre hypertension                                                                                                   ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                               ,645
18,meal_id19  ,baked shankarpali recipe                                                      ,shankarpali ,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee                                                                                                                                                                                                                                                                                                                                                                                                                     ",veg     ,carbohydrates ,diabeties goitre                                                                                                      ,alkaline_diet low_fat_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                            ,325
20,meal_id21  ,apple rabdi                                                                   ,rabdi       ,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",veg     ,calcium       ,obesity diabeties                                                                                                     ,high_protien_diet vegan_diet low_fat_diet ketogenic_diet                                                                                                                                ,335
22,meal_id23  ,dates and nuts ladoo                                                          ,ladoo       ,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",veg     ,vitamin_e     ,anemia cancer heart_disease kidney_disease obesity diabeties                                                          ,alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet                                                                            ,420
23,meal_id24  ,green lentil dessert fudge                                                    ,dessert     ,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",veg     ,calcium       ,anemia hypertension scurvy heart_disease goitre kidney_disease pregnancy diabeties                                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                           ,210
24,meal_id25  ,cashew nut cookies                                                            ,cookie      ,"cashew paste, ghee, khaand (a sweetening agent and a healthier substitute of sugar), flax or chia seeds, plain yogurt, baking soda, baking powder, vanilla, oats, organic all-purpose flour                                                                                                                                                                                                                                                                                                                                                                           ",veg     ,protien       ,hypertension                                                                                                          ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,655
25,meal_id26  ,almond pearls                                                                 ,almond      ,"toasted almonds, blueberries, oats, corn flakes, olive oil, salt, curry leaves, mustard seeds, cumin seeds, red chilli powder, turmeric powder, black pepper powder, ajwain, lemon juice                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,protien       ,hypertension                                                                                                          ,gluten_free_diet                                                                                                                                                                        ,550
26,meal_id27  ,hawaiin papaya salad                                                          ,salad       ,"papaya, fresh lime (juiced), watermelon balls or small squares (seedless), fresh pineapple chunks, coconut (unsweetened), vanilla flavoured yogurt (low fat)                                                                                                                                                                                                                                                                                                                                                                                                          ",veg     ,fiber         ,obesity scurvy hypertension goitre                                                                                    ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                             ,245
27,meal_id28  ,vegetable som tam salad                                                       ,salad       ,"raw papaya, carrot, french bean diamond, cherry tomato, garlic, crush mix chilli, somtam dressing, peanuts (crushed), peanuts                                                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,fiber         ,hypertension scurvy heart_disease goitre kidney_disease obesity                                                       ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,655
29,meal_id30  ,couscous with ratatouille - tangy tomato sauce                                ,sauce       ,"for the cous cous:, plain couscous, extra virgin olive oil, vegetable stock, herbs (basil, parsley, thyme, cilantro work best), for the ratatouille:, olive oil (regular not extra virgin), red onions, aubergines (cut in to 3 cm cubes), zucchini (cut in to 3 cm cubes), garlic cloves, ground cumin, sweet paprika, tomato paste, salt                                                                                                                                                                                                                            ",veg     ,chloride      ,anemia pregnancy hypertension cancer scurvy heart_disease eye_disease rickets goitre kidney_disease obesity diabeties ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                           ,220
30,meal_id31  ,baked almond kofta                                                            ,kofta       ,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,calcium       ,goitre hypertension                                                                                                   ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,610
31,meal_id32  ,almond and amaranth ladoo                                                     ,ladoo       ,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",veg     ,calcium       ,hypertension                                                                                                          ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                               ,685
32,meal_id33  ,moong dal kiwi coconut soup                                                   ,soup        ,"धूली मूंग दाल नमक के साथ उबली हुई, कीवी, नारियल क्रीम, तेल, तेजपत्ता , जीरा, काली मिर्च, लहसुन की कलियां ,, प्याज, हल्दी पाउडर, करी पाउडर, नमक , ताजा हरा धनिया                                                                                                                                                                                                                                                                                                                                                                                                                     ",veg     ,sodium        ,obesity scurvy hypertension                                                                                           ,alkaline_diet paleo_diet ketogenic_diet high_fiber_diet gluten_free_diet dash_diet                                                                                                      ,420
33,meal_id28  ,vegetable som tam salad                                                       ,salad       ,"मूंगफली , गाजर, फ्रेंच बीन्स, चेरी टोमैटो, लहसुन, क्रश मिक्स चिली, सॉम टैम ड्रेसिंग, मूंगफली (क्रशड), मूंगफली                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,fiber         ,hypertension scurvy heart_disease goitre kidney_disease obesity                                                       ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,220
34,meal_id24  ,green lentil dessert fudge                                                    ,dessert     ,"साबुत हरी मूंग दाल, देसी घी , दूध, गुड़, इलाइची पाउडर, बादाम                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",veg     ,iron          ,anemia hypertension scurvy heart_disease goitre kidney_disease pregnancy diabeties                                    ,alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet dash_diet                                                                                                            ,625
35,meal_id34  ,mixed berry &amp; banana smoothie                                             ,smoothie    ,"फिरोजन मिक्स बेरिज़, पका हुआ केला, ताजा संतरे का जूस, लो फैट दही                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",veg     ,selenium      ,diabeties hypertension                                                                                                ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet                                                                                                          ,325
36,meal_id35  ,banana walnut smoothie                                                        ,smoothie    ,"लो फैट दही, केला, अखरोट, सीड्स  (फैक्ससीड्स और चिया सीड्स), शहद                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,selenium      ,hypertension                                                                                                          ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet                                                                                                                    ,235
38,meal_id37  ,red rice poha                                                                 ,poha        ,"प्याज, पैपर, बटन मशरूम, जंगली मशरूम, वाइट वाइन, टमाटर, सेज लीफ, रेड पोहा, ट्रफल ऑयल, रोजमेरी                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,carbohydrates ,anemia pregnancy cancer scurvy kidney_disease obesity diabeties                                                       ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,275
39,meal_id38  ,mixed salad with lotus root                                                   ,salad       ,"आइसबर्ग लैटयूस, लोलो रोसो, एंडिव लैट्यूस , लाल पत्तागोभी, लोटस रूट, कददू, यैम बीन्स, छोटी प्याज, अनार , शैलेट तेल, पोमेलो, लेमनग्रास सॉस                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",veg     ,fiber         ,hypertension goitre kidney_disease obesity diabeties                                                                  ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                                                   ,545
40,meal_id39  ,sweet potato and quinoa bowl                                                  ,potato      ,"स्वीट पौटेटो क्यूब्स, नारियल, प्याज, क्निोआ (पका हुआ), किशमिश, काजू, कालीमिर्च पाउडर, कैएन, तेजपत्ता, नमक                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",veg     ,protien       ,hypertension scurvy goitre kidney_disease pregnancy                                                                   ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                        ,525
41,meal_id40  ,corn and raw mango salad                                                      ,salad       ,"भुट्टे के दाने , प्याज, हरी प्याज, लाल शिमला मिर्च, कच्चा आम (टुकड़े), सेलेरी स्टॉक (टुकड़े), चेरी टमाटर, पाइनएप्पल (टुकड़े), पासर्ले, हरा धनिया, बैजल के पत्ते, ब्लैक ऑलिव, नींबू का रस, ऑलिव आॅयल, काला नमक, सफेद मिर्च पाउडर, टाको शेल                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,fiber         ,anemia hypertension cancer scurvy heart_disease goitre kidney_disease obesity diabeties                               ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet high_fiber_diet high_protien_diet                                                                            ,480
42,meal_id41  ,oats khichdi                                                                  ,khichdi     ,"क्विक कुकिंग ओट्स, मूंगदाल, जीरा, हल्दी पाउडर, लाल मिर्च पाउडर, प्याज, टमाटर, गाजर, हरी मटर, अदरक, हरी मिर्च, नमक, एक्ट्रा वर्जिन ऑलिव ऑयल, पानी, हरा धनिया                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,protien       ,hypertension                                                                                                          ,high_protien_diet dash_diet gluten_free_diet                                                                                                                                            ,690
43,meal_id42  ,sugar free modak                                                              ,snacks      ,"seedless dates, almonds, cashew nuts, walnuts, raisins, dry coconut, poppy seeds, ghee                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",veg     ,carbohydrates ,pregnancy hypertension cancer heart_disease goitre kidney_disease obesity diabeties                                   ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                        ,210
44,meal_id43  ,beetroot modak                                                                ,snacks      ,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,selenium      ,hypertension                                                                                                          ,vegan_diet low_fat_diet ketogenic_diet                                                                                                                                                  ,420
49,meal_id48  ,almond and chicken momos (without shell)                                      ,snacks      ,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)                                                                                                                                                                                                                                                                                                                                                                                                                ",non-veg ,calcium       ,anemia hypertension rickets goitre kidney_disease pregnancy                                                           ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                        ,415
52,meal_id51  ,christmas chocolate fudge cookies                                             ,cookie      ,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,530
54,meal_id7   ,chocolate nero cookies                                                        ,cookie      ,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,245
56,meal_id53  ,chocolate appo                                                                ,snacks      ,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter                                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,340
57,meal_id12  ,lemon honey glazed sous vide corn on the cob                                  ,snacks      ,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer                                                                                                                                                                                                                                                                                                                                                                                                        ",non-veg ,protien       ,diabeties goitre scurvy                                                                                               ,low_fat_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet                                                                                                               ,685
58,meal_id54  ,sous-vide salmon tikka                                                        ,snacks      ,"norwegian salmon, black garlic pickle, butter, butchery bag, smoked yogurt, home made prawn crisp, edible flower, salt                                                                                                                                                                                                                                                                                                                                                                                                                                                ",non-veg ,calcium       ,anemia pregnancy hypertension heart_disease rickets goitre obesity diabeties                                          ,high_protien_diet vegan_diet low_fat_diet ketogenic_diet                                                                                                                                ,465
60,meal_id15  ,almond and cranberry poha                                                     ,snacks      ,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,iron          ,hypertension                                                                                                          ,gluten_free_diet vegan_diet low_fat_diet high_fiber_diet                                                                                                                                ,540
